2013,0000002285,5,1,1,3,1,00114,3,1,11260,02,020,0017.01,2,5,5, , , , ,8, , , , ,2,5,0089,7, , , ,01.54,2,1, ,0000559,00006843,038.32,00087800,098.29,00001685,00002621,0
2013,0000002285,5,1,1,3,1,00170,3,1,11260,02,020,0019.00,2,2,5, , , , ,5, , , , ,2,1,0131,7, , , ,NA   ,2,1, ,0000568,00004194,058.97,00087800,069.50,00000441,00000947,0
2013,0000002285,5,1,1,1,1,00165,1,1,11260,02,170,0006.03,2,5,5, , , , ,8, , , , ,1,5,0107,1, , , ,NA   ,2,1, ,0000611,00006131,019.20,00087800,099.63,00001446,00001781,0
2013,0000002285,5,1,1,1,1,00194,1,1,11260,02,170,0006.03,3,5,6, , , , ,8, , , , ,1,5,0123,7, , , ,NA   ,2,1, ,0000668,00006131,019.20,00087800,099.63,00001446,00001781,0
2013,0000002285,5,1,1,1,2,00236,1,1,11260,02,020,0025.01,3,3,6, , , , ,6, , , , ,2,1,0184,1, , , ,NA   ,2,1, ,0000682,00004993,038.15,00087800,105.11,00001338,00001795,0
2013,0000002285,5,1,1,1,1,00272,1,1,11260,02,170,0012.02,3,3,6, , , , ,6, , , , ,1,2,0223,7, , , ,NA   ,2,1, ,0000691,00004664,019.79,00087800,102.58,00001052,00001409,0
2013,0000002285,5,1,1,1,1,00216,1,1,11260,02,020,0009.02,3,5,5, , , , ,8, , , , ,1,5,0084,7, , , ,NA   ,2,1, ,0000801,00003141,056.06,00087800,068.47,00000541,00000799,0
2013,0000002285,5,1,1,1,1,00304,1,1,11260,02,020,0028.11,2,5,5, , , , ,8, , , , ,2,5,0110,1, , , ,NA   ,2,1, ,0001066,00006313,044.27,00087800,087.68,00001734,00001829,0
2013,0000002285,5,1,1,2,1,00095,3,1,11260,02,020,0027.02,2,5,1,5, , , ,8, , , , ,1,5,0192,0, , , ,NA   ,2,2, ,0001156,00009670,026.83,00087800,111.63,00002926,00003554,0
2013,0000002285,5,1,1,1,1,00040,3,2,11260,02,020,0012.00,2,2,5, , , , ,5, , , , ,1,2,0244,0, , , ,NA   ,2,2, ,0001172,00003718,014.42,00087800,149.81,00001005,00001536,0
2013,0000002285,5,1,1,2,1,00040,3,1,11260,02,020,0002.02,2,5,5, , , , ,8, , , , ,2,5,0045,0, , , ,NA   ,2,2, ,0001185,00005947,019.71,00087800,104.99,00001621,00002011,0
2013,0000002285,5,1,1,3,1,00055,3,1,11260,02,020,0028.11,2,2,5, , , , ,5, , , , ,1,2,0115,0, , , ,NA   ,2,1, ,0001190,00006313,044.27,00087800,087.68,00001734,00001829,0
2013,0000002285,5,1,1,3,1,00065,3,1,11260,02,020,0002.02,2,5,5, , , , ,8, , , , ,2,5,0045,0, , , ,NA   ,2,2, ,0001211,00005947,019.71,00087800,104.99,00001621,00002011,0
2013,0000002285,5,1,1,3,1,00137,3,1,11260,02,020,0013.00,2,2,5, , , , ,5, , , , ,1,2,0121,0, , , ,NA   ,2,1, ,0001216,00003059,015.20,00087800,170.10,00001113,00001306,0
2013,0000002285,5,1,1,3,1,00100,3,1,11260,02,020,0002.02,2,5,5, , , , ,8, , , , ,2,5,0039,0, , , ,NA   ,2,1, ,0001275,00005947,019.71,00087800,104.99,00001621,00002011,0
2013,0000003130,5,1,1,3,1,00280,3,4,11260,02,020,0027.02,3,3,6, , , , ,6, , , , ,3,3,0097,0, , , ,NA   ,2,1,6,0000141,00009670,026.83,00087800,111.63,00002926,00003554,0
2013,0000003130,5,1,1,1,1,00290,3,1,11260,02,020,0023.02,2,5,5, , , , ,8, , , , ,2,5,0117,3, , , ,NA   ,2,1,6,0000789,00004791,036.74,00087800,111.63,00001169,00001609,0
2013,0000003130,5,1,1,1,2,00376,3,1,11260,02,020,0027.11,3,3,6, , , , ,6, , , , ,1,2,0266,0, , , ,NA   ,2,1,6,0000847,00006589,027.58,00087800,123.83,00002049,00002230,0
2013,0000003130,5,1,1,1,1,00310,3,1,11260,02,020,0027.12,2,2,5, , , , ,5, , , , ,1,2,0101,3, , , ,NA   ,2,1,6,0001412,00009068,046.12,00087800,086.38,00002152,00003002,0
2013,0000003360,5,1,1,3,1,00308,3,3,11260,02,020,0028.23,3,3,6, , , , ,6, , , , ,1,2,0108,0, , , ,NA   ,2,1,6,0000305,00005217,015.85,00087800,194.96,00001648,00001945,0
2013,0000003360,5,2,1,1,1,00215,2,3,11260,02,020,0002.03,2,2,5, , , , ,5, , , , ,2,1,NA  ,0, , , ,NA   ,2,1,6,0001099,00010549,017.51,00087800,129.43,00003080,00003541,0
2013,0000005750,1,3,1,1,1,00260,1,1,11260,02,020,0002.01,2,5,5, , , , ,8, , , , ,1,5,0088,6, , , ,NA   ,2,1,6,0001035,00004110,024.43,00087800,092.76,00000969,00001272,0
2013,0000005892,5,1,1,1,2,00172,1,1,11260,02,020,0026.01,2,2,5, , , , ,5, , , , ,2,1,0201,7, , , ,NA   ,2,1, ,0000016,00004784,048.89,00087800,088.03,00000698,00001460,0
2013,0000005892,5,3,1,1,1,00279,2,1,11260,02,020,0002.01,2,2,5, , , , ,2, , , , ,1,2,0085,7, , , ,NA   ,2,1, ,0000017,00004110,024.43,00087800,092.76,00000969,00001272,0
2013,0000005892,5,1,1,3,1,00175,3,1,11260,02,020,0002.02,2,2,5, , , , ,5, , , , ,2,1,0097,7, , , ,NA   ,2,1, ,0000025,00005947,019.71,00087800,104.99,00001621,00002011,0
2013,0000005892,5,1,1,1,1,00356,2,1,11260,02,020,0023.01,2,2,4, , , , ,5, , , , ,2,1,0141,7, , , ,NA   ,2,1, ,0000046,00007088,029.61,00087800,137.71,00002009,00002332,0
2013,0000005892,5,2,1,1,1,00288,1,1,11260,02,020,0027.02,2,2,2, , , , ,2, , , , ,1,2,0090,7, , , ,NA   ,2,1, ,0000055,00009670,026.83,00087800,111.63,00002926,00003554,0
2013,0000005892,5,3,1,1,1,00498,1,1,11260,02,020,0002.02,2,2,5, , , , ,1,5, , , ,1,2,0141,7, , , ,NA   ,2,1, ,0000059,00005947,019.71,00087800,104.99,00001621,00002011,0
2013,0000005892,5,1,1,3,1,00125,3,1,11260,02,020,0017.32,2,2,5, , , , ,1, , , , ,2,2,0159,7, , , ,NA   ,2,1, ,0000064,00006179,038.21,00087800,115.35,00001778,00002199,0
2013,0000005892,5,1,1,3,1,00184,3,1,11260,02,020,0028.12,2,2,5, , , , ,5, , , , ,2,1,0066,7, , , ,NA   ,2,1, ,0000066,00007166,018.69,00087800,173.46,00001998,00002331,0
